Family,Genus/Species,Common Name,
Euphorbiaceae,Acalypha virginica L.,virginia copperleaf,
Sapindaceae,Acer rubrum L.,red maple,
Betulaceae,Carpinus caroliniana Walt.,american hornbeam,
Poaceae,Dichanthelium depauperatum (Muhl.)Gould,panicgrass,
Asteraceae,Erigeron strigosus Muhl.exWilld.,daisy fleabane,
Vitidaceae,Parthenocissus quinquefolia (L.)Planch.,virginia creeper,
Rosaceae,Prunus serotina Ehrh.,black cherry,
Smilacaceae,Smilax rotundifolia L.,common greenbrier,
Adoxaceae,Viburnum prunifolium L.,blackhaw,
Altingiaceae,Liquidambar styraciflua L.,sweetgum,
Dryopteridaceae,Dryopteris intermedia (Muhl.exWilld.)Gray,intermediate wood fern,
Fagaceae,Castanea dentata (Marsh.)Borkh.,american chestnut,
Asteraceae,Eurybia divaricata (L.)Nesom,white wood aster,
Fagaceae ,Quercus rubra L.,northern red oak,
Anacardiaceae,Rhus copallinum L.,shining sumac,
Adoxaceae,Viburnum acerifolium L.,blackhaw,
Poaceae,Muhlenbergia schreberi J.F.Gmel.,no common name,
Brassicaceae,Arabis laevigata (Muhl.exWilld.)Poir.,smooth rockcress,
Araliaceae,Aralia nudicaulis L.,Wild sarsaparilla,
Apocynaceae,Asclepias tuberosa L.,butterfly weed,
Orobanchaceae,Aureolaria flava (L.)Farw.,smooth false foxglove,
Cyperaceae,Carex umbellata SchkuhrexWilld.,parasol sedge,
Plantaginaceae,Chelone glabra L.,white turtlehead,
Convolvulaceae,Cuscuta gronovii Willd.exJ.A.Schultes,scaldweed,
Fabaceae ,Desmodium nudiflorum (L.)DC.,naked-flowered tick treefoil,